race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.4836 (0.4597-0.5071),0.5164 (0.4929-0.5403),0.6324 (0.6053-0.6615)
OVAP,0.94 (0.906-0.9662),0.06 (0.0338-0.094),0.4877 (0.4248-0.5483)
