race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.6566 (0.6348-0.6773),0.3434 (0.3227-0.3652),0.5029 (0.4797-0.5262)
BVAP,0.9422 (0.9062-0.9682),0.0578 (0.0318-0.0938),0.4408 (0.3838-0.4995)
HVAP,0.7775 (0.575-0.9187),0.2225 (0.0813-0.425),0.6157 (0.4061-0.814)
OVAP,0.8494 (0.7184-0.9352),0.1506 (0.0648-0.2816),0.5738 (0.3852-0.7598)
