race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4254 (0.402-0.4487),0.198 (0.1805-0.2159),0.1371 (0.1229-0.1521),0.053 (0.0433-0.0632),0.1865 (0.1685-0.2052),0.0964 (0.0923-0.1006)
OVAP,0.4961 (0.4635-0.5298),0.1655 (0.1403-0.1918),0.0811 (0.0631-0.1009),0.0449 (0.032-0.0584),0.2124 (0.1843-0.2392),0.1502 (0.1407-0.1597)
