race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.2085 (0.1836-0.2354),0.7915 (0.7646-0.8164),0.5786 (0.559-0.5981)
OVAP,0.9148 (0.8673-0.9506),0.0852 (0.0494-0.1327),0.4087 (0.3647-0.4497)
