race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.537 (0.5206-0.5542),0.463 (0.4458-0.4794),0.4601 (0.4444-0.4769)
OVAP,0.9793 (0.9668-0.9884),0.0207 (0.0116-0.0332),0.4615 (0.4274-0.4927)
