race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2319 (0.2103-0.2548),0.7681 (0.7452-0.7897),0.4612 (0.4481-0.4752)
OVAP,0.961 (0.9371-0.9782),0.039 (0.0218-0.0629),0.2934 (0.265-0.3211)
