race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.2195 (0.196-0.2439),0.3979 (0.376-0.4216),0.3826 (0.3596-0.4058),0.1126 (0.1076-0.1176)
OVAP,0.6361 (0.5898-0.6811),0.1787 (0.1409-0.2157),0.1851 (0.1478-0.2259),0.1403 (0.1291-0.1518)
