,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV18PDNone,GOV18PD_BJ_pct,GOV18PD_JS_pct,GOV18PD_KV_pct,GOV18PD_RM_pct,GOV18PD_RB_pct,GOV18PDNone_pct
937,Carroll,2365,Carroll Precinct 04-002,2282,28,19,34,8,16,6,14,36,2365,1,0.9649048625792812,0.011839323467230444,0.008033826638477801,0.01522198731501057,2287,0.01437632135306554,0.0033826638477801266,0.006765327695560253,0.002536997885835095,0.005919661733615222,0.9670190274841438
938,Carroll,2537,Carroll Precinct 07-006,2326,65,59,57,12,24,6,11,87,2537,1,0.9168309026409145,0.025620811982656682,0.023255813953488372,0.03429247142294048,2427,0.022467481277098935,0.004729996058336618,0.009459992116673236,0.002364998029168309,0.0043358297201418995,0.956641702798581
939,Carroll,3647,Carroll Precinct 07-003,3100,264,178,69,20,26,7,13,105,3647,1,0.8500137098985467,0.07238826432684398,0.04880723882643268,0.028790786948176585,3512,0.01891965999451604,0.005483959418700302,0.007129147244310392,0.0019193857965451055,0.003564573622155196,0.9629832739237729
940,Carroll,2385,Carroll Precinct 07-001,2135,105,101,27,4,9,4,10,44,2385,1,0.8951781970649895,0.0440251572327044,0.042348008385744235,0.018448637316561847,2331,0.011320754716981131,0.0016771488469601676,0.0037735849056603774,0.0016771488469601676,0.0041928721174004195,0.9773584905660377
941,Carroll,7644,Carroll Precinct 05-004,6509,725,141,180,46,66,17,59,269,7644,1,0.8515175300889587,0.09484563055991628,0.018445839874411302,0.03519099947671376,7276,0.023547880690737835,0.006017791732077446,0.008634222919937205,0.0022239665096807954,0.00771847200418629,0.9518576661433804
943,Carroll,4313,Carroll Precinct 05-002,3922,228,63,111,42,44,9,52,100,4313,1,0.9093438441919778,0.05286343612334802,0.014607002086714584,0.023185717597959656,4055,0.02573614653373522,0.009738001391143055,0.010201715743102248,0.0020867145838163693,0.012056573150939021,0.9401808485972641
1170,Carroll,2549,Carroll Precinct 05-003,2418,38,34,79,21,21,8,20,59,2549,1,0.9486072969792075,0.01490780698313064,0.013338564142801098,0.02314633189486073,2400,0.030992546096508436,0.00823852491173009,0.00823852491173009,0.003138485680659082,0.007846214201647704,0.9415457041977247
1181,Carroll,6184,Carroll Precinct 04-001,5840,132,76,117,44,41,12,36,136,6184,1,0.944372574385511,0.021345407503234153,0.012289780077619664,0.02199223803363519,5934,0.01891979301423027,0.0071151358344113845,0.006630012936610608,0.0019404915912031048,0.005821474773609315,0.9595730918499353
1182,Carroll,4802,Carroll Precinct 08-001,4594,54,55,64,31,24,6,23,99,4802,1,0.9566847147022074,0.011245314452311536,0.011453561016243232,0.020616409829237816,4654,0.013327780091628489,0.006455643481882549,0.0049979175343606835,0.0012494793835901709,0.004789670970428988,0.9691795085381091
1187,Carroll,7419,Carroll Precinct 07-004,6548,335,265,148,31,44,10,46,271,7419,1,0.8825987329828818,0.045154333468122386,0.03571909960911174,0.03652783393988408,7140,0.019948780159051084,0.00417846070899043,0.005930718425663836,0.0013478905512872355,0.006200296535921283,0.9623938536190861
1188,Carroll,4295,Carroll Precinct 03-001,4156,43,42,54,11,17,12,14,54,4295,1,0.9676367869615833,0.010011641443538999,0.009778812572759022,0.012572759022118742,4187,0.012572759022118742,0.002561117578579744,0.003958090803259604,0.0027939464493597207,0.003259604190919674,0.9748544819557625
1189,Carroll,3836,Carroll Precinct 07-002,3328,157,245,55,14,18,13,12,106,3836,1,0.867570385818561,0.04092805005213764,0.06386861313868614,0.027632950990615225,3724,0.014337851929092805,0.0036496350364963502,0.0046923879040667365,0.003388946819603754,0.0031282586027111575,0.9708029197080292
1190,Carroll,5993,Carroll Precinct 06-001,5728,79,80,88,21,23,8,24,106,5993,1,0.9557817453695978,0.013182045720006674,0.013348907058234607,0.017687301852160855,5829,0.014683797764058067,0.003504088102786584,0.0038378107792424497,0.0013348907058234607,0.004004672117470382,0.972634740530619
1191,Carroll,3510,Carroll Precinct 08-002,3268,78,103,51,16,25,9,7,61,3510,1,0.931054131054131,0.022222222222222223,0.029344729344729346,0.017378917378917377,3402,0.01452991452991453,0.004558404558404558,0.007122507122507123,0.002564102564102564,0.0019943019943019944,0.9692307692307692
1192,Carroll,2717,Carroll Precinct 08-003,2574,40,61,46,10,17,9,15,42,2717,1,0.9473684210526315,0.01472211998527788,0.022451232977548766,0.015458225984541774,2620,0.016930437983069563,0.00368052999631947,0.006256900993743099,0.003312476996687523,0.005520794994479205,0.9642988590357011
1193,Carroll,4591,Carroll Precinct 06-002,4324,106,96,61,21,27,11,32,65,4591,1,0.9418427357874102,0.023088651709867132,0.020910477020257025,0.014158135482465693,4439,0.01328686560662165,0.004574166848181224,0.0058810716619472885,0.0023959921585711176,0.006970159006752342,0.9668917447179264
1770,Carroll,7060,Carroll Precinct 13-001,6426,188,225,145,22,52,17,58,221,7060,1,0.9101983002832861,0.026628895184135977,0.03186968838526912,0.03130311614730878,6766,0.020538243626062325,0.0031161473087818695,0.0073654390934844195,0.0024079320113314447,0.00821529745042493,0.958356940509915
1794,Carroll,4768,Carroll Precinct 04-003,4514,103,50,90,24,30,10,28,101,4768,1,0.9467281879194631,0.02160234899328859,0.010486577181208054,0.02118288590604027,4586,0.018875838926174497,0.0050335570469798654,0.006291946308724832,0.0020973154362416107,0.00587248322147651,0.9618288590604027
