,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
939,Carroll,3647,Carroll Precinct 07-003,3100,264,178,423,442,105,3647,1,0.8500137098985467,0.07238826432684398,0.04880723882643268,0.028790786948176585,2782,0.11598574170551137,0.12119550315327667,0.762818755141212
940,Carroll,2385,Carroll Precinct 07-001,2135,105,101,266,333,44,2385,1,0.8951781970649895,0.0440251572327044,0.042348008385744235,0.018448637316561847,1786,0.11153039832285115,0.13962264150943396,0.7488469601677149
941,Carroll,7644,Carroll Precinct 05-004,6509,725,141,1471,1952,269,7644,1,0.8515175300889587,0.09484563055991628,0.018445839874411302,0.03519099947671376,4221,0.1924385138670853,0.2553636839351125,0.5521978021978022
943,Carroll,4313,Carroll Precinct 05-002,3922,228,63,1025,1393,100,4313,1,0.9093438441919778,0.05286343612334802,0.014607002086714584,0.023185717597959656,1895,0.23765360537908647,0.322977046139578,0.4393693484813355
1170,Carroll,2549,Carroll Precinct 05-003,2418,38,34,587,746,59,2549,1,0.9486072969792075,0.01490780698313064,0.013338564142801098,0.02314633189486073,1216,0.23028638681836014,0.2926637897214594,0.4770498234601805
1181,Carroll,6184,Carroll Precinct 04-001,5840,132,76,1137,1613,136,6184,1,0.944372574385511,0.021345407503234153,0.012289780077619664,0.02199223803363519,3434,0.18386157826649419,0.2608344113842173,0.5553040103492884
1182,Carroll,4802,Carroll Precinct 08-001,4594,54,55,843,1261,99,4802,1,0.9566847147022074,0.011245314452311536,0.011453561016243232,0.020616409829237816,2698,0.175551853394419,0.26259891711786754,0.5618492294877134
1187,Carroll,7419,Carroll Precinct 07-004,6548,335,265,989,1192,271,7419,1,0.8825987329828818,0.045154333468122386,0.03571909960911174,0.03652783393988408,5238,0.1333063755223076,0.16066855371343847,0.7060250707642539
1188,Carroll,4295,Carroll Precinct 03-001,4156,43,42,668,1169,54,4295,1,0.9676367869615833,0.010011641443538999,0.009778812572759022,0.012572759022118742,2458,0.15552968568102446,0.27217694994179276,0.5722933643771828
1189,Carroll,3836,Carroll Precinct 07-002,3328,157,245,555,700,106,3836,1,0.867570385818561,0.04092805005213764,0.06386861313868614,0.027632950990615225,2581,0.14468196037539102,0.18248175182481752,0.6728362877997914
1190,Carroll,5993,Carroll Precinct 06-001,5728,79,80,925,1596,106,5993,1,0.9557817453695978,0.013182045720006674,0.013348907058234607,0.017687301852160855,3472,0.15434673786083764,0.2663106958117804,0.5793425663273819
1191,Carroll,3510,Carroll Precinct 08-002,3268,78,103,631,894,61,3510,1,0.931054131054131,0.022222222222222223,0.029344729344729346,0.017378917378917377,1985,0.17977207977207976,0.2547008547008547,0.5655270655270656
1192,Carroll,2717,Carroll Precinct 08-003,2574,40,61,471,720,42,2717,1,0.9473684210526315,0.01472211998527788,0.022451232977548766,0.015458225984541774,1526,0.17335296282664703,0.26499815973500185,0.5616488774383511
1193,Carroll,4591,Carroll Precinct 06-002,4324,106,96,834,1318,65,4591,1,0.9418427357874102,0.023088651709867132,0.020910477020257025,0.014158135482465693,2439,0.1816597691134829,0.28708342409061205,0.531256806795905
1770,Carroll,7060,Carroll Precinct 13-001,6426,188,225,1181,2094,221,7060,1,0.9101983002832861,0.026628895184135977,0.03186968838526912,0.03130311614730878,3785,0.16728045325779037,0.29660056657223793,0.5361189801699717
1794,Carroll,4768,Carroll Precinct 04-003,4514,103,50,871,1258,101,4768,1,0.9467281879194631,0.02160234899328859,0.010486577181208054,0.02118288590604027,2639,0.1826761744966443,0.2638422818791946,0.553481543624161
