race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0348 (0.0317-0.0379),0.0014 (0.0009-0.0022),0.9637 (0.9605-0.9668)
OVAP,0.0311 (0.0222-0.0409),0.0217 (0.0188-0.0243),0.9471 (0.937-0.9564)
