race,AG18D,AG18R,AG18None
WVAP,0.1529 (0.14-0.166),0.2155 (0.2114-0.219),0.6316 (0.6183-0.6446)
OVAP,0.2351 (0.1926-0.2787),0.0194 (0.0101-0.0331),0.7455 (0.7017-0.7882)
