race,SEN12D,SEN12R,SEN12None
WVAP,0.1703 (0.1572-0.1838),0.2274 (0.2244-0.23),0.6022 (0.5886-0.6156)
OVAP,0.2564 (0.2127-0.3019),0.0136 (0.0071-0.023),0.73 (0.6839-0.7745)
