race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0313 (0.0292-0.0334),0.0026 (0.0015-0.0038),0.0191 (0.0169-0.0212),0.947 (0.9436-0.9502)
BVAP,0.0119 (0.0054-0.0203),0.0112 (0.0052-0.0193),0.0202 (0.0093-0.0327),0.9566 (0.9398-0.9734)
HVAP,0.02 (0.0076-0.0375),0.025 (0.0095-0.0441),0.0323 (0.0127-0.0611),0.9227 (0.8863-0.9523)
OVAP,0.0201 (0.007-0.0426),0.0663 (0.0431-0.0907),0.0321 (0.0114-0.0602),0.8815 (0.8397-0.9208)
