race,PRES12D,PRES12R,PRES12None
WVAP,0.2069 (0.192-0.2223),0.3157 (0.3116-0.3189),0.4773 (0.4619-0.4928)
OVAP,0.3005 (0.2517-0.3509),0.0166 (0.0083-0.03),0.6829 (0.6303-0.7324)
