race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0325 (0.0292-0.0358),0.0014 (0.0009-0.0021),0.9661 (0.9628-0.9695)
BVAP,0.0288 (0.0157-0.045),0.0185 (0.0109-0.0264),0.9527 (0.9348-0.9683)
HVAP,0.0416 (0.0144-0.0769),0.0339 (0.0147-0.0518),0.9245 (0.8887-0.9534)
OVAP,0.062 (0.0198-0.1135),0.0174 (0.007-0.0307),0.9206 (0.8714-0.9629)
