race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0329 (0.0311-0.0349),0.0041 (0.0029-0.0054),0.0204 (0.0183-0.0223),0.9427 (0.9398-0.9458)
OVAP,0.0106 (0.0057-0.0158),0.0217 (0.0165-0.0266),0.0212 (0.015-0.0281),0.9465 (0.9363-0.9556)
