race,GOV14D,GOV14R,GOV14None
WVAP,0.0797 (0.07-0.0897),0.2743 (0.2703-0.2777),0.6459 (0.6358-0.6564)
OVAP,0.1547 (0.122-0.1874),0.0156 (0.0078-0.0269),0.8297 (0.795-0.8641)
