race,PRES16D,PRES16R,PRES16None
WVAP,0.1482 (0.1358-0.1609),0.2594 (0.2551-0.2628),0.5924 (0.5793-0.6051)
OVAP,0.2645 (0.223-0.3059),0.019 (0.0099-0.0322),0.7165 (0.6746-0.7579)
