race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0205 (0.0185-0.0225),0.0057 (0.0048-0.0064),0.008 (0.0071-0.0089),0.0026 (0.0021-0.0031),0.0127 (0.0113-0.0141),0.9505 (0.9477-0.9533)
OVAP,0.0342 (0.0275-0.0414),0.0044 (0.0021-0.0074),0.0057 (0.0032-0.0088),0.0035 (0.0019-0.0056),0.0158 (0.0113-0.0203),0.9364 (0.9267-0.9455)
