race,SEN18D,SEN18R,SEN18None
WVAP,0.1579 (0.1456-0.1708),0.191 (0.1871-0.1941),0.6512 (0.6382-0.6637)
OVAP,0.2258 (0.185-0.2678),0.018 (0.0094-0.0316),0.7562 (0.7136-0.7967)
