race,SEN16D,SEN16R,SEN16None
WVAP,0.1502 (0.1372-0.1635),0.2736 (0.2689-0.2772),0.5762 (0.563-0.5895)
OVAP,0.2653 (0.2226-0.3089),0.0193 (0.0099-0.0338),0.7155 (0.6715-0.758)
