race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0156 (0.0129-0.0181),0.0219 (0.0208-0.0228),0.0189 (0.0178-0.0198),0.9437 (0.941-0.9466)
OVAP,0.0478 (0.0381-0.0588),0.0049 (0.0026-0.0081),0.0051 (0.0028-0.0087),0.9422 (0.9305-0.9521)
