race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0714 (0.0675-0.075),0.0189 (0.0153-0.0228),0.9097 (0.9045-0.9148)
OVAP,0.023 (0.0136-0.0341),0.0925 (0.0779-0.1069),0.8845 (0.8671-0.9017)
