race,COMP14D,COMP14R,COMP14None
WVAP,0.1698 (0.16-0.1802),0.19 (0.1848-0.1943),0.6402 (0.6289-0.6512)
BVAP,0.1397 (0.0939-0.1897),0.0217 (0.0108-0.039),0.8386 (0.7875-0.886)
HVAP,0.0742 (0.029-0.1418),0.0259 (0.0098-0.0503),0.9 (0.8272-0.9535)
OVAP,0.1268 (0.0425-0.2463),0.0494 (0.0171-0.0986),0.8238 (0.6952-0.9204)
