race,GOV18D,GOV18R,GOV18None
WVAP,0.053 (0.0448-0.0622),0.3177 (0.3111-0.3236),0.6292 (0.6189-0.6393)
OVAP,0.2355 (0.2037-0.2663),0.0267 (0.0129-0.0444),0.7378 (0.7039-0.7723)
