race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0155 (0.0132-0.0177),0.0203 (0.0189-0.0215),0.017 (0.0156-0.0183),0.9473 (0.9442-0.9504)
BVAP,0.0572 (0.0399-0.0748),0.0067 (0.0034-0.0111),0.0068 (0.0035-0.0116),0.9293 (0.9116-0.9468)
HVAP,0.0343 (0.0134-0.0626),0.0125 (0.0048-0.0243),0.0159 (0.0061-0.0294),0.9373 (0.9071-0.9636)
OVAP,0.0371 (0.0083-0.0695),0.0145 (0.0052-0.0288),0.016 (0.0054-0.0315),0.9324 (0.8946-0.9642)
