race,COMP18D,COMP18R,COMP18None
WVAP,0.2084 (0.196-0.2212),0.1684 (0.164-0.1717),0.6232 (0.6101-0.6359)
OVAP,0.1995 (0.1563-0.2418),0.0219 (0.0113-0.0376),0.7786 (0.7358-0.8223)
