race,PRES16D,PRES16R,PRES16None
WVAP,0.1503 (0.1376-0.1631),0.2541 (0.2489-0.2586),0.5955 (0.5819-0.6085)
BVAP,0.3087 (0.2413-0.3766),0.0246 (0.0126-0.0423),0.6668 (0.5956-0.7355)
HVAP,0.1063 (0.0322-0.2308),0.028 (0.0099-0.0565),0.8657 (0.741-0.9448)
OVAP,0.2671 (0.1178-0.4678),0.0544 (0.02-0.1067),0.6786 (0.4768-0.8378)
