race,COMP18D,COMP18R,COMP18None
WVAP,0.2042 (0.1908-0.217),0.1628 (0.1572-0.1678),0.633 (0.6193-0.6469)
BVAP,0.2305 (0.1634-0.2976),0.0292 (0.0146-0.0526),0.7403 (0.6736-0.8069)
HVAP,0.0785 (0.0295-0.1567),0.0254 (0.0078-0.0536),0.8962 (0.8132-0.9557)
OVAP,0.2795 (0.1109-0.4666),0.0591 (0.0193-0.1162),0.6614 (0.4634-0.8343)
