race,COMP14D,COMP14R,COMP14None
WVAP,0.1713 (0.1607-0.1817),0.1951 (0.1912-0.1982),0.6337 (0.6228-0.6449)
OVAP,0.1211 (0.0901-0.1566),0.0163 (0.0081-0.0283),0.8626 (0.8245-0.8953)
