race,AG14D,AG14R,AG14None
WVAP,0.1217 (0.1118-0.1317),0.2104 (0.2051-0.2145),0.6679 (0.6573-0.6791)
BVAP,0.159 (0.1121-0.2124),0.0196 (0.0096-0.0352),0.8215 (0.7642-0.8704)
HVAP,0.0828 (0.0337-0.1462),0.0268 (0.0084-0.0525),0.8904 (0.821-0.9455)
OVAP,0.1443 (0.0541-0.292),0.0412 (0.0135-0.0904),0.8145 (0.6616-0.9143)
