race,AG14D,AG14R,AG14None
WVAP,0.1224 (0.1118-0.1329),0.2149 (0.2113-0.2179),0.6627 (0.6521-0.6733)
OVAP,0.1397 (0.1079-0.1739),0.0146 (0.0075-0.0252),0.8457 (0.8105-0.8783)
